203228.086,43.396371,-79.236883,1,1.52,6
203230.086,43.396371,-79.236883,1,1.52,6
203234.886,43.396371,-79.236883,1,1.36,6
203240.086,43.396337,-79.236960,1,1.36,6
203245.286,43.396343,-79.237025,1,1.12,7
203250.086,43.396340,-79.237061,1,1.12,7
203255.286,43.396333,-79.237103,1,1.12,7
203300.486,43.396324,-79.237158,1,1.12,7
203305.286,43.396314,-79.237225,1,1.12,7
203310.486,43.396294,-79.237288,1,1.12,7
203315.686,43.396268,-79.237286,1,1.12,7
203320.486,43.396251,-79.237312,1,1.12,7
203325.686,43.396204,-79.237325,1,2.17,6
203335.686,43.396166,-79.237402,1,2.17,6
203340.886,43.396177,-79.237469,1,1.12,7
203345.686,43.396211,-79.237559,1,1.11,7
203350.886,43.396215,-79.237614,1,1.11,7
203356.086,43.396179,-79.237648,1,1.11,7
203400.886,43.396160,-79.237682,1,1.11,7
203406.086,43.396161,-79.237730,1,1.11,7
203411.286,43.396153,-79.237795,1,1.13,7
203416.086,43.396142,-79.237858,1,1.11,7
203421.286,43.396129,-79.237906,1,1.11,7
203431.286,43.396079,-79.237965,1,1.41,6
203436.486,43.396073,-79.238024,1,1.11,7
203446.486,43.396087,-79.238031,1,1.11,7
203451.686,43.396087,-79.238031,1,1.11,7
203456.486,43.396090,-79.238054,1,1.41,6
203501.686,43.396090,-79.238054,1,1.11,7
203506.886,43.396090,-79.238054,1,1.11,7
203511.686,43.396132,-79.237996,1,1.11,7
203516.886,43.396127,-79.238010,1,1.11,7
203521.686,43.396117,-79.238004,1,1.41,7
203522.086,43.396117,-79.238004,1,1.41,7
